Match,Batting_Team,Bowling_Team,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20,Over 21
Match 1,Heat,Thunder,4/0,13/1,14/2,19/2,29/2,44/3,57/3,62/3,68/3,77/3,89/3,93/3,98/3,108/3,119/3,127/4,143/4,160/4,174/4,195/4,N/A
Match 2,Stars,Heat,4/0,11/0,15/1,29/1,31/2,44/2,55/2,64/2,68/2,84/2,93/2,99/2,110/2,130/2,140/3,145/3,153/4,159/4,172/4,177/6,N/A
Match 3,Sixers,Scorchers,2/1,14/1,22/1,27/2,43/2,52/2,58/2,64/2,76/2,79/3,84/3,89/3,104/3,113/4,126/4,142/5,157/5,163/5,173/6,176/10,N/A
Match 4,Sixers,Stars,3/0,14/0,26/0,34/1,39/1,53/1,61/1,69/2,73/2,79/2,87/2,96/3,101/4,105/4,112/5,119/6,131/6,138/6,160/6,166/8,N/A
Match 5,Sixers,Renegades,4/0,10/1,15/1,24/1,31/1,44/1,50/1,57/2,65/2,72/3,78/3,88/3,99/3,105/3,113/3,127/3,132/3,136/5,147/6,161/6,N/A
Match 6,Heat,Renegades,5/1,8/1,15/1,22/1,26/1,44/1,53/1,61/1,64/2,71/4,74/4,79/5,84/5,93/5,104/5,118/5,136/5,146/5,157/6,168/7,N/A
Match 7,Hurricanes,Scorchers,3/0,5/0,14/0,18/0,24/0,34/1,44/1,52/2,62/2,66/2,74/2,80/2,92/2,103/3,107/4,112/4,114/6,126/7,139/8,140/10,N/A
Match 8,Sixers,Hurricanes,0/1,6/1,13/1,17/1,25/1,36/1,43/1,49/1,59/2,70/2,76/2,90/2,99/2,107/3,121/3,128/3,132/5,141/5,148/5,153/6,N/A
Match 9,Strikers,Renegades,13/0,23/0,27/0,36/0,49/0,55/0,62/0,71/0,78/0,86/1,95/1,101/2,105/2,114/2,123/2,135/2,138/3,154/4,179/4,189/5,N/A
Match 10,Heat,Hurricanes,12/0,20/0,28/0,41/0,55/0,71/0,81/0,90/0,104/1,110/1,114/1,122/1,133/1,145/2,148/2,161/3,170/3,175/3,188/3,201/4,N/A
Match 11,Strikers,Thunder,4/0,15/0,21/1,30/1,40/1,46/2,48/3,51/3,54/4,61/4,70/4,74/4,80/4,87/4,98/4,104/5,114/5,123/5,137/7,155/7,N/A
Match 12,Heat,Sixers,4/0,12/0,13/0,18/0,28/0,37/0,42/1,44/2,47/3,50/3,55/3,62/4,74/4,89/4,104/5,113/5,123/5,127/5,132/7,139/8,N/A
Match 13,Thunder,Scorchers,4/0,14/0,17/0,21/1,33/1,35/3,37/3,40/3,44/4,48/4,51/4,55/5,57/5,63/5,64/7,79/7,88/7,96/7,99/9,99/10,N/A
Match 14,Stars,Hurricanes,6/0,15/0,25/0,32/0,45/0,55/0,66/0,78/0,93/0,100/0,104/0,126/0,141/0,150/0,161/0,166/0,175/1,182/1,192/2,203/3,N/A
Match 15,Scorchers,Strikers,6/0,20/0,29/0,32/0,48/0,55/0,67/0,70/0,85/0,93/0,101/0,105/1,108/1,122/1,128/1,138/1,143/2,162/3,173/5,184/5,N/A
Match 16,Scorchers,Heat,10/0,19/0,27/0,41/0,53/0,68/0,77/0,84/1,89/2,91/2,100/2,106/2,122/2,126/3,129/5,133/5,144/5,150/6,157/7,162/8,N/A
Match 17,Stars,Thunder,3/0,10/1,21/1,26/1,30/1,37/1,44/2,56/2,60/2,72/2,82/3,86/4,103/4,108/5,113/5,120/5,124/6,137/6,143/7,153/7,N/A
Match 18,Renegades,Hurricanes,7/0,18/0,26/0,35/0,50/0,58/0,66/0,86/0,93/0,98/0,112/0,122/0,125/0,130/1,137/1,142/2,147/2,152/4,164/4,173/4,N/A
Match 19,Hurricanes,Strikers,4/0,7/0,20/0,31/0,36/0,41/0,45/0,52/0,64/0,69/1,86/1,91/1,95/1,101/1,105/2,117/2,133/2,147/3,157/4,171/4,N/A
Match 20,Renegades,Scorchers,5/0,15/0,27/0,35/0,48/0,53/0,57/0,70/0,76/0,89/0,93/1,103/1,111/1,118/2,140/2,144/3,156/3,168/3,177/3,188/3,N/A
Match 21,Stars,Renegades,11/0,23/0,33/0,40/1,44/2,44/3,62/3,67/3,73/3,77/3,84/3,93/3,106/3,114/3,123/3,125/5,132/5,136/5,155/5,167/5,N/A
Match 22,Sixers,Thunder,4/0,10/0,16/0,24/1,28/1,34/1,42/2,46/3,48/5,56/5,63/5,74/5,83/5,96/6,103/7,117/7,N/A,N/A,N/A,N/A,N/A
Match 23,Scorchers,Stars,7/0,23/0,30/0,38/0,44/0,53/0,59/1,67/1,70/1,78/1,89/1,95/1,105/1,120/1,125/2,132/2,136/3,146/3,159/3,174/3,N/A
Match 24,Strikers,Heat,3/0,15/0,25/0,36/0,41/0,46/1,53/1,64/1,72/1,78/2,83/2,91/2,95/3,102/3,115/3,125/4,129/4,135/4,149/4,166/4,N/A
Match 25,Thunder,Hurricanes,3/0,9/0,15/0,24/0,38/0,39/1,48/1,58/1,64/1,75/1,90/1,91/1,91/1,100/2,109/2,114/3,121/3,127/4,134/5,138/8,N/A
Match 26,Strikers,Stars,6/0,13/0,19/0,32/0,37/1,46/1,52/2,57/2,59/3,66/3,75/3,80/4,89/4,95/4,100/5,110/5,115/6,121/7,123/8,125/10,N/A
Match 27,Scorchers,Sixers,4/2,14/2,17/2,20/2,30/2,33/2,50/2,56/2,60/3,63/3,69/3,79/3,83/3,93/3,99/3,111/3,119/4,126/4,147/5,156/5,N/A
Match 28,Hurricanes,Sixers,3/0,9/0,17/0,23/0,31/0,37/1,41/1,48/1,52/1,63/1,83/1,89/1,94/1,107/1,111/1,127/1,139/1,146/2,152/2,169/3,N/A
Match 29,Renegades,Thunder,4/0,10/0,23/0,33/0,43/0,51/0,54/0,64/0,73/0,81/0,90/2,93/2,99/2,105/2,108/3,115/3,125/4,129/6,133/6,140/8,N/A
Match 30,Sixers,Strikers,7/0,15/0,18/1,27/1,39/1,45/1,55/1,64/2,70/2,79/2,87/2,98/2,102/4,105/4,110/5,117/5,122/6,127/6,145/6,151/8,N/A
Match 31,Scorchers,Stars,5/0,14/0,23/0,33/0,46/0,53/1,58/1,63/2,70/2,80/2,87/2,95/2,107/2,110/3,111/4,120/5,124/5,128/5,134/5,136/9,N/A
Match 32,Scorchers,Hurricanes,0/1,5/1,10/1,11/2,25/2,36/2,41/2,54/2,66/2,69/2,78/2,81/3,93/3,109/3,115/3,123/3,134/3,141/3,144/5,152/8,N/A
Match 33,Renegades,Sixers,2/0,2/1,5/1,11/1,33/1,38/2,46/2,53/2,60/2,65/2,82/2,91/2,102/2,111/2,137/2,146/3,154/3,164/3,170/4,178/5,N/A
Match 34,Stars,Renegades,8/0,23/0,29/1,38/1,43/1,60/1,67/1,72/1,76/2,78/2,87/2,97/2,102/2,107/3,115/3,123/3,134/4,148/4,157/4,167/5,N/A
