Match,Batting_Team,Bowling_Team,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20,Over 21
Match 1,Ireland,West Indies,5/0,20/0,35/0,51/0,69/0,93/0,106/0,115/0,124/0,130/0,143/0,153/0,156/1,157/2,160/2,166/4,178/4,198/4,202/5,208/7,N/A
Match 2,England,Australia,2/0,4/1,13/1,19/1,23/1,33/1,40/1,53/1,58/2,69/2,77/3,83/3,92/3,98/4,110/4,116/4,120/5,136/5,141/5,145/6,N/A
Match 3,Pakistan,England,5/0,15/0,24/0,31/0,42/0,51/0,58/0,66/0,75/1,87/1,99/1,109/1,113/2,119/2,132/2,155/2,165/3,177/3,188/3,195/4,N/A
Match 4,New Zealand,Pakistan,5/0,12/0,23/0,34/0,45/1,47/2,57/2,61/3,67/3,76/3,81/3,90/3,105/3,109/3,120/4,128/4,133/5,149/5,165/6,173/7,N/A
Match 5,Bangladesh,Pakistan,4/0,6/1,18/1,22/1,27/2,33/2,39/2,41/3,45/3,57/3,62/3,74/3,79/3,84/3,88/4,102/4,111/4,119/5,126/5,136/6,N/A
Match 6,England,South Africa,9/0,16/0,18/1,24/1,38/1,55/1,69/2,78/2,87/2,90/3,93/3,104/3,108/3,115/3,125/4,136/5,157/5,176/6,189/6,204/7,N/A
Match 7,Pakistan,New Zealand,7/0,12/1,16/1,20/3,25/4,29/4,32/4,39/4,42/5,48/5,51/5,66/5,73/5,83/6,99/6,100/6,114/6,134/7,142/8,153/9,N/A
Match 8,India,New Zealand,8/0,10/1,25/1,34/1,44/1,53/1,55/1,62/1,69/1,84/1,94/1,101/2,104/2,106/2,117/2,131/2,140/2,143/2,148/3,163/3,N/A
Match 9,India,New Zealand,4/0,17/0,26/0,34/0,42/0,69/0,77/0,82/0,89/1,92/1,96/3,99/3,106/3,114/3,127/3,131/3,142/4,151/4,161/5,179/5,N/A
Match 10,New Zealand,India,13/0,18/0,23/0,32/0,39/0,48/1,58/1,63/1,69/2,73/2,76/3,79/3,84/4,90/4,94/4,109/4,115/4,118/4,123/4,132/5,N/A
Match 11,Bangladesh,Pakistan,2/0,10/0,15/0,26/0,29/0,35/0,41/0,51/0,57/0,62/0,71/1,79/1,86/1,96/1,100/3,106/3,116/3,124/4,128/5,141/5,N/A
Match 12,Zimbabwe,Pakistan,5/1,14/1,27/1,34/1,37/2,42/2,49/2,62/2,69/2,77/3,88/4,91/4,95/4,106/4,110/4,120/4,124/5,130/5,141/5,156/6,N/A
Match 13,Afghanistan,Ireland,3/0,6/0,11/0,18/0,29/0,34/0,46/0,50/0,58/1,64/1,73/1,76/1,85/2,102/2,112/2,137/2,150/3,155/3,158/4,184/4,N/A
Match 14,India,Australia,4/0,6/0,13/1,21/1,30/1,42/1,51/2,56/2,68/2,75/2,86/2,89/3,91/4,93/5,97/5,104/5,115/6,127/6,150/6,161/7,N/A
Match 15,England,Pakistan (did not bat),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 16,Bangladesh,Zimbabwe,11/0,20/0,23/0,38/0,48/0,59/0,70/0,79/0,83/0,91/0,95/1,98/1,106/2,117/2,125/2,147/3,163/3,170/3,180/3,200/3,N/A
Match 17,Ireland,Afghanistan,7/0,17/0,33/0,44/0,47/0,63/1,68/1,74/1,85/1,92/1,96/1,110/1,112/2,120/2,128/3,135/3,145/3,151/4,160/5,172/6,N/A
Match 18,Australia,South Africa,9/1,20/1,30/1,41/1,58/1,70/1,78/1,83/1,90/2,99/2,106/2,116/3,125/4,131/4,147/4,155/4,159/4,169/5,178/6,196/6,N/A
Match 19,Pakistan,England,2/0,12/1,27/1,32/1,37/2,47/2,54/2,66/2,77/2,84/2,100/2,108/2,117/2,130/2,134/3,148/3,159/3,170/3,181/4,190/4,N/A
Match 20,South Africa,England,7/0,9/0,26/0,33/1,44/1,50/2,54/2,58/2,65/3,75/3,77/4,82/4,92/4,97/5,102/5,108/5,112/5,127/5,139/6,146/6,N/A
Match 21,Ireland,West Indies,1/0,12/1,14/1,23/1,28/2,40/2,47/2,56/2,62/2,87/2,95/2,98/3,109/3,114/4,120/4,125/5,132/5,144/6,147/9,N/A,N/A
Match 22,West Indies,New Zealand (did not bat),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 23,West Indies,New Zealand,8/0,26/0,55/0,58/2,59/4,60/5,73/5,81/5,90/5,96/5,108/5,131/5,133/5,146/7,157/7,180/7,N/A,N/A,N/A,N/A,N/A
Match 24,South Africa,Australia,4/0,18/0,30/0,40/0,46/0,59/0,62/1,70/1,78/1,81/1,88/2,95/2,100/2,113/2,122/3,127/3,138/3,142/3,147/4,158/4,N/A
Match 25,South Africa,England,11/0,17/0,33/0,52/0,60/0,64/0,77/0,86/1,90/2,100/2,112/2,116/3,129/3,141/3,164/3,174/3,179/4,195/4,210/5,222/6,N/A
Match 26,Ireland,West Indies,8/0,27/0,48/0,52/1,55/2,61/2,73/2,76/4,88/4,92/4,96/6,102/6,107/6,112/8,115/8,122/8,126/9,135/9,138/9,138/10,N/A
Match 27,Australia,India,9/0,14/1,16/1,28/1,45/1,51/1,59/1,68/1,73/1,82/2,87/2,101/2,114/2,124/2,139/2,145/2,157/2,168/2,175/3,186/5,N/A
Match 28,New Zealand,West Indies,4/0,14/0,17/0,26/0,41/0,49/1,57/2,66/2,70/2,84/2,102/2,113/2,137/2,151/2,160/2,168/2,192/2,215/2,228/2,238/3,N/A
Match 29,Australia,England,1/1,3/2,10/2,20/2,30/3,39/3,41/3,52/3,56/3,60/3,69/3,79/4,89/5,93/5,101/5,110/5,117/5,128/5,139/6,157/7,N/A
Match 30,South Africa,England,4/0,19/0,28/0,48/0,54/1,68/1,77/1,84/1,97/1,105/1,111/2,113/3,118/3,128/3,135/3,148/4,160/4,169/4,172/5,177/8,N/A
Match 31,West Indies,Sri Lanka,6/0,12/0,21/0,30/0,38/0,58/0,65/0,74/0,78/1,90/1,98/1,105/1,107/2,126/2,144/2,150/3,156/3,173/3,182/3,196/4,N/A
Match 32,Zimbabwe,Bangladesh,5/0,11/0,15/1,18/1,25/1,31/1,43/1,47/1,55/1,62/1,69/1,71/2,75/2,78/3,85/3,97/4,101/5,107/5,113/7,119/7,N/A
Match 33,Sri Lanka,West Indies,5/0,15/0,17/1,27/1,36/1,44/1,50/3,58/3,65/3,75/3,81/3,84/4,92/4,96/5,104/5,109/5,116/6,128/6,139/6,155/6,N/A
Match 34,India,New Zealand,7/0,22/1,35/1,40/1,50/2,51/2,55/3,69/3,78/4,83/4,87/5,88/6,97/6,104/6,112/6,125/6,138/7,144/8,154/8,165/8,N/A
Match 35,India,Sri Lanka,9/0,22/0,26/0,39/0,52/0,63/0,72/0,76/0,82/0,92/0,103/1,112/2,123/4,130/4,138/4,142/4,158/4,167/6,182/6,201/6,N/A
Match 36,New Zealand,India,7/0,19/0,26/0,44/0,52/0,68/0,73/0,81/1,84/1,91/1,102/1,116/2,121/3,130/3,143/3,165/3,178/4,182/5,191/5,203/5,N/A
Match 37,Zimbabwe,Pakistan,4/0,10/1,25/1,36/2,38/3,45/3,53/3,59/3,65/3,66/5,70/5,74/5,78/5,90/6,96/6,101/6,111/6,120/6,125/7,134/7,N/A
Match 38,Pakistan,New Zealand,8/0,16/2,21/2,27/2,31/2,33/3,46/3,55/3,58/4,65/4,73/4,78/4,86/4,90/4,107/4,119/5,128/5,134/6,145/6,163/6,N/A
Match 39,Zimbabwe,Pakistan,2/0,21/0,23/0,27/1,32/1,39/2,42/2,55/2,57/3,58/4,65/4,74/4,76/6,80/6,87/7,98/7,110/7,120/7,126/9,129/9,N/A
Match 40,Australia,India,13/0,23/0,31/0,46/0,47/1,59/1,68/1,75/2,81/2,91/2,100/2,111/2,123/3,127/3,132/3,152/3,159/3,169/4,177/5,194/5,N/A
Match 41,Ireland,Afghanistan,4/1,11/1,12/2,19/2,33/2,50/2,57/2,64/2,74/2,77/3,81/4,93/4,102/4,106/5,109/5,119/5,122/7,124/8,132/8,142/8,N/A
Match 42,Australia,South Africa,9/0,15/0,32/0,50/0,63/0,75/0,84/0,93/0,102/0,114/0,119/0,121/1,125/2,135/2,145/2,151/3,159/4,165/4,173/5,193/5,N/A
Match 43,England,Australia,8/0,24/0,35/0,43/1,48/1,55/1,62/1,65/2,70/2,75/3,86/3,92/4,106/4,109/5,117/5,122/5,125/6,147/6,152/7,162/7,N/A
Match 44,Sri Lanka,India,7/0,12/0,22/0,31/0,39/1,48/1,53/1,56/2,64/2,67/2,75/2,84/3,91/3,102/4,104/5,113/5,117/6,127/6,130/9,142/9,N/A
Match 45,South Africa,England,4/0,6/0,20/0,32/0,36/1,44/1,52/1,61/2,63/2,66/3,70/3,84/3,90/3,98/3,107/3,123/3,145/3,154/3,171/3,191/3,N/A
Match 46,South Africa,England,6/1,9/1,12/1,26/1,50/1,57/1,63/1,71/1,78/1,86/2,90/2,96/2,106/2,113/3,127/3,139/3,147/4,158/4,163/5,179/6,N/A
Match 47,Sri Lanka,West Indies,6/0,14/0,21/0,29/0,42/0,48/1,61/1,67/1,77/1,82/1,91/1,101/1,112/1,120/1,132/1,137/2,153/2,170/2,180/3,189/3,N/A
Match 48,Australia,West Indies,10/0,18/0,26/0,32/0,41/1,45/1,52/1,56/1,63/2,72/2,79/2,81/4,86/4,92/4,99/4,109/4,124/4,130/4,137/4,141/6,N/A
