Match,Batting_Team,Bowling_Team,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20,Over 21,Over 22,Over 23,Over 24,Over 25,Over 26,Over 27,Over 28,Over 29,Over 30,Over 31,Over 32,Over 33,Over 34,Over 35,Over 36,Over 37,Over 38,Over 39,Over 40,Over 41,Over 42,Over 43,Over 44,Over 45,Over 46,Over 47,Over 48,Over 49,Over 50,Over 51
Match 1,NZ Women,SA Women,1/0,3/0,4/0,10/0,13/0,18/0,26/0,29/0,30/1,32/1,36/1,40/1,46/1,51/1,54/2,59/2,62/2,67/2,70/2,77/2,83/2,91/2,100/2,102/3,105/3,111/3,112/3,115/3,119/3,125/3,133/3,137/3,141/3,149/4,152/4,156/4,160/4,167/4,172/4,186/4,191/4,194/5,198/5,202/5,209/6,219/6,229/6,242/6,254/7,259/9,N/A
Match 2,NZ Women,SA Women,3/0,4/0,6/1,8/1,16/2,19/2,23/2,24/2,30/2,32/2,34/2,39/3,43/4,49/4,56/4,58/4,66/4,72/4,75/4,77/4,80/4,85/4,86/5,87/7,88/7,91/7,93/7,99/7,103/7,104/7,106/7,107/7,108/9,108/9,111/9,115/10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 3,NZ Women,SA Women,2/0,8/0,9/0,10/1,11/1,14/1,15/2,20/2,25/2,27/2,35/2,44/2,54/2,58/2,65/2,68/2,72/2,73/3,82/3,83/3,88/3,93/3,98/4,106/4,110/5,112/5,116/5,120/5,124/5,127/5,131/5,134/5,136/7,137/7,140/7,142/7,147/9,149/9,149/10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 4,NZ Women,AUS Women,4/0,9/0,9/0,17/0,17/0,20/0,30/0,32/0,36/0,42/0,43/0,48/0,50/0,55/0,61/0,68/0,71/0,75/1,76/1,77/1,80/1,85/1,88/1,98/1,104/1,109/1,115/1,120/1,120/1,122/1,129/1,129/1,132/1,145/1,150/1,156/1,160/1,165/1,168/2,177/2,183/2,186/2,193/2,199/3,208/4,219/4,232/4,245/4,246/7,252/9,N/A
Match 5,AUS Women,NZ Women,2/0,11/0,16/0,17/0,19/0,23/0,26/0,40/0,42/0,42/0,47/0,48/0,53/0,63/0,68/0,70/0,77/0,83/0,94/0,98/0,103/0,116/0,120/0,127/0,138/0,146/1,149/1,149/1,153/1,156/1,163/1,170/1,171/1,179/1,180/1,192/1,205/1,210/1,214/1,221/1,227/2,237/2,244/3,252/3,265/3,270/4,287/4,295/5,306/5,325/5,N/A
Match 6,NZ Women,AUS Women,0/0,8/0,9/0,23/0,24/1,24/2,27/2,33/2,35/2,43/2,44/2,51/2,52/3,54/3,60/3,61/4,63/4,64/4,65/4,66/4,68/4,69/4,71/4,74/4,75/4,83/4,83/5,84/6,84/6,90/6,97/6,97/6,97/6,100/6,108/6,114/6,120/6,125/6,132/6,138/6,143/6,145/7,149/7,153/7,155/8,159/8,165/8,177/8,180/9,180/10,N/A
Match 7,AUS Women,IND Women,4/0,11/0,12/0,13/0,17/0,22/0,28/0,41/0,41/2,41/2,41/2,45/2,48/2,50/2,53/2,60/2,62/2,63/3,66/3,74/3,76/3,78/3,81/3,87/3,87/4,90/4,99/4,107/4,111/4,117/4,121/4,128/4,130/4,130/4,135/4,148/4,155/4,163/4,173/4,185/5,195/5,208/5,212/5,220/5,225/6,234/6,243/6,249/6,260/7,264/9,N/A
Match 8,IND Women,SA Women,10/0,14/0,15/0,16/0,17/1,18/2,19/2,22/2,28/2,29/2,31/2,31/2,36/2,41/3,45/3,46/3,50/3,59/3,63/3,67/3,72/3,83/3,90/3,94/3,101/3,104/4,106/4,114/4,116/4,120/4,124/4,125/4,126/4,135/4,141/4,147/4,152/4,154/5,155/5,156/6,158/6,158/7,159/7,160/7,160/8,162/8,165/8,170/8,171/8,177/9,N/A
Match 9,ENG Women,NZ Women,5/0,7/1,9/1,13/1,20/1,23/1,25/1,34/1,39/1,43/1,44/1,45/1,49/1,52/1,58/1,62/1,66/1,73/1,74/1,79/1,89/1,94/1,97/1,100/1,111/1,116/2,127/2,138/2,144/3,147/3,150/3,151/3,161/3,162/4,168/4,170/5,172/5,174/5,181/5,184/6,186/6,189/6,194/7,199/7,211/7,216/8,220/8,220/10,N/A,N/A,N/A
Match 10,IND Women,SA Women,5/0,6/0,12/0,16/0,25/0,26/1,31/1,35/1,35/1,40/1,44/1,52/2,53/3,55/3,57/3,58/3,60/3,69/3,73/3,74/3,76/3,82/3,88/3,88/3,90/3,94/3,100/3,104/3,107/3,115/3,124/3,125/3,126/3,131/3,132/3,134/3,137/4,138/4,139/5,148/5,149/5,150/5,157/5,160/6,166/6,173/6,176/7,179/8,187/8,188/9,N/A
