Match,Batting_Team,Bowling_Team,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20,Over 21
Match 1,IRE Women,ZIM Women,1/0,12/0,21/0,32/0,43/0,52/0,60/0,68/0,76/0,83/0,87/0,102/0,106/0,117/0,132/0,146/1,156/1,167/2,176/2,191/3,N/A
Match 2,ENG Women,BAN Women,4/0,11/0,13/0,22/0,36/0,47/0,50/1,53/2,58/2,62/2,71/2,76/3,81/4,85/4,87/4,91/5,95/5,97/5,106/6,118/7,N/A
Match 3,AUS Women,BAN Women,3/0,15/0,15/1,19/1,29/1,40/1,51/1,71/1,84/1,94/1,105/1,107/2,114/4,118/4,129/4,137/4,145/4,151/4,155/5,161/8,N/A
Match 4,IRE Women,SL Women,9/0,14/0,19/0,20/0,26/1,34/1,45/1,51/1,56/1,69/1,76/1,87/1,100/1,110/1,118/1,127/1,137/1,142/2,158/2,173/3,N/A
Match 5,IND Women,BAN Women,4/0,11/0,19/0,25/0,37/1,51/1,59/1,62/2,66/2,71/2,78/2,92/2,106/2,112/2,122/3,124/5,129/5,136/5,147/5,156/5,N/A
Match 6,ENG Women,IRE Women,8/0,17/0,28/0,37/0,57/0,65/0,73/1,79/1,84/1,96/1,111/1,115/2,116/4,121/4,132/5,136/5,148/5,162/5,171/8,176/10,N/A
Match 7,BAN Women,WI Women,6/0,13/0,18/0,22/1,27/1,33/2,35/2,40/2,54/2,58/2,63/2,71/2,73/3,75/3,77/5,82/5,89/5,94/5,99/6,103/8,N/A
Match 8,BAN Women,IND Women,11/0,14/1,26/1,29/1,38/1,43/2,51/2,54/2,61/2,68/4,70/5,76/5,86/5,88/5,97/5,103/6,105/6,114/6,117/8,119/10,N/A
Match 9,IND Women,BAN Women,4/0,5/1,14/1,29/1,41/2,52/2,59/2,66/3,70/3,78/3,91/3,104/4,114/4,122/6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 10,ENG Women,IRE Women,6/0,11/0,20/0,27/0,31/0,44/0,46/1,54/1,64/1,71/2,82/2,91/2,105/2,119/2,127/3,134/4,143/5,153/5,160/6,169/8,N/A
